Temperatur_K,Fraksi_Mol_Glycine
270.0,5.9708051762319945e-6
271.0,6.575353181319214e-6
272.0,7.23729548076465e-6
273.0,7.961759738766389e-6
274.0,8.754309511429611e-6
275.0,9.620980363489004e-6
276.0,1.0568319027146536e-5
277.0,1.1603425877992731e-5
278.0,1.2734001030872436e-5
279.0,1.3968394389910374e-5
280.0,1.5315660021503036e-5
281.0,1.6785615257542707e-5
282.0,1.8388904980661174e-5
283.0,2.0137071590427055e-5
284.0,2.204263120555722e-5
285.0,2.4119156717986127e-5
286.0,2.6381368384056926e-5
287.0,2.8845232715263535e-5
288.0,3.152807052088163e-5
289.0,3.444867505328211e-5
290.0,3.7627441317395114e-5
291.0,4.108650773943845e-5
292.0,4.484991152854023e-5
293.0,4.8943759236163125e-5
294.0,5.339641420241257e-5
295.0,5.8238702794807065e-5
296.0,6.35041415946884e-5
297.0,6.922918796350707e-5
298.0,7.545351674586787e-5
299.0,8.222032624318379e-5
300.0,8.957667701515752e-5
301.0,9.757386756240264e-5
302.0,0.00010626785151989482
303.0,0.00011571970164800008
304.0,0.00012599612668178696
305.0,0.0001371700479944099
306.0,0.00014932124406479827
307.0,0.00016253707197272306
308.0,0.0001769132765540693
309.0,0.0001925548995218813
310.0,0.0002095773028221331
311.0,0.00022810732278624553
312.0,0.00024828457437302574
313.0,0.00027026292796972977
314.0,0.0002942121850410454
315.0,0.0003203199833561974
316.0,0.00034879396785872596
317.0,0.0003798642695263213
318.0,0.00041378634201265715
319.0,0.00045084421475826233
320.0,0.0004913542317013736
321.0,0.0005356693571871248
322.0,0.0005841841453158304
323.0,0.0006373404862734562
324.0,0.0006956342634054534
325.0,0.0007596230781864632
326.0,0.0008299352272817064
327.0,0.0009072801462173231
328.0,0.0009924605675472255
329.0,0.0010863866769166943
330.0,0.0011900925852571759
331.0,0.0013047554659239883
332.0,0.0014317177242338735
333.0,0.001572512562489807
334.0,0.0017288932565284567
335.0,0.00190286634351379
336.0,0.0020967286912016267
337.0,0.002313108018585601
338.0,0.0025550057848110715
339.0,0.00282584036050532
340.0,0.003129486934913581
341.0,0.003470308614153798
342.0,0.003853170643010192
343.0,0.00428342686131752
344.0,0.00476686499284576
345.0,0.0053095963141241
346.0,0.0059178774028393055
347.0,0.006597858986235674
348.0,0.007355270608197787
349.0,0.008195068769867697
350.0,0.00912109551549717
