Temperatur_K,Fraksi_Mol_Glycine
270.0,0.08374769064449224
271.0,0.08519303779954762
272.0,0.08664850990909377
273.0,0.08811406021643758
274.0,0.08958964247268067
275.0,0.0910752109354652
276.0,0.09257072036995455
277.0,0.09407612605106658
278.0,0.0955913837658245
279.0,0.09711644981945285
280.0,0.09865128103889095
281.0,0.10019583478085321
282.0,0.10175006893781147
283.0,0.10331394194956073
284.0,0.10488741280964439
285.0,0.10647044107850723
286.0,0.10806298689383421
287.0,0.10966501098383503
288.0,0.11127647468028183
289.0,0.11289733993286558
290.0,0.1145275693246579
291.0,0.11616712608691551
292.0,0.11781597411729373
293.0,0.11947407799583507
294.0,0.12114140300354784
295.0,0.12281791514048837
296.0,0.12450358114581617
297.0,0.1261983685163264
298.0,0.12790224552841367
299.0,0.1296151812570832
300.0,0.13133714559821333
301.0,0.13306810929039503
302.0,0.13480804393637533
303.0,0.1365569220261176
304.0,0.13831471695937358
305.0,0.14008140306882844
306.0,0.1418569556439618
307.0,0.14364135095444588
308.0,0.14543456627393328
309.0,0.14723657990564237
310.0,0.14904737120501252
311.0,0.15086692060588422
312.0,0.15269520964460614
313.0,0.1545322209853894
314.0,0.15637793844551767
315.0,0.15823234702025157
316.0,0.1600954329094519
317.0,0.1619671835419617
318.0,0.16384758760169593
319.0,0.16573663505389402
320.0,0.1676343171707035
321.0,0.16954062655707275
322.0,0.1714555571771443
323.0,0.1733791043800988
324.0,0.17531126492664625
325.0,0.177252037015711
326.0,0.17920142030978994
327.0,0.18115941596268495
328.0,0.1831260266456159
329.0,0.18510125657342935
330.0,0.18708511153213764
331.0,0.18907759890539563
332.0,0.19107872770157885
333.0,0.19308850858116425
334.0,0.19510695388342641
335.0,0.1971340776546904
336.0,0.19916989567477014
337.0,0.20121442548530885
338.0,0.2032676864183056
339.0,0.20532969962286807
340.0,0.20740048809445494
341.0,0.20948007670308302
342.0,0.211568492222153
343.0,0.21366576335756482
344.0,0.21577192077663473
345.0,0.21788699713884574
346.0,0.22001102712416967
347.0,0.22214404746449853
348.0,0.2242860969740357
349.0,0.22643721658068525
350.0,0.2285974493567171
